Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"E. Adar","Prioritization of the treatment and disposal methods of wastes containing polychlorinated biphenyl by fuzzy multi-criteria decision-making and risk assessment",2020,"Environmental Monitoring and Assessment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086302775&origin=inward",114,"2023-12-15 21:21:59","Article","10.1007/s10661-020-08391-2","0167-6369","https://api.elsevier.com/content/abstract/scopus_id/85086302775",192,7,,,3,1.00,3,1,3,"","",""
2,"E. Asiedu-Ayeh","Assessing social responsibility initiatives for public-private partnership success based on multi-criteria decision making: evidence from municipal solid waste management in Ghana",2023,"Journal of Environmental Planning and Management","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85133658573&origin=inward",126,"2023-12-15 21:21:59","Article","10.1080/09640568.2022.2082929","0964-0568","https://api.elsevier.com/content/abstract/scopus_id/85133658573",66,13,2713,2738,2,2.00,2,1,1,"","",""
0,"E. Göz","River water quality modelling using artificial intelligence techniques",2020,"A Comprehensive Guide to Neural Network Modeling","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85152542401&origin=inward",181,"2023-12-15 21:21:59","Book Chapter","","","https://api.elsevier.com/content/abstract/scopus_id/85152542401",,,123,153,0,0.00,0,1,3,"","",""
40,"E. Yazdankish","Capture of I<sup>131</sup> from medical-based wastewater using the highly effective and recyclable adsorbent of g-C<inf>3</inf>N<inf>4</inf> assembled with Mg-Co-Al-layered double hydroxide",2020,"Journal of Hazardous Materials","","https://api.elsevier.com/content/article/eid/1-s2.0-S0304389420301394","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078473272&origin=inward",17,"2023-12-15 21:21:59","Article","10.1016/j.jhazmat.2020.122151","0304-3894","https://api.elsevier.com/content/abstract/scopus_id/85078473272",389,,,,40,13.33,40,1,3,"","",""
16,"E. Şener","Landfill site selection using integrated fuzzy logic and analytic hierarchy process (AHP) in lake basins",2020,"Arabian Journal of Geosciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85093826807&origin=inward",48,"2023-12-15 21:21:59","Article","10.1007/s12517-020-06087-y","1866-7511","https://api.elsevier.com/content/abstract/scopus_id/85093826807",13,21,,,16,5.33,16,1,3,"","",""
3,"E.S.S. Tejaswini","Design and evaluation of advanced automatic control strategies in a total nitrogen removal activated sludge plant",2021,"Water and Environment Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85098079352&origin=inward",113,"2023-12-15 21:21:59","Article","10.1111/wej.12670","1747-6585","https://api.elsevier.com/content/abstract/scopus_id/85098079352",35,2,791,806,3,1.50,3,1,2,"","",""
1,"F. Erdem","Risk assessment with the fuzzy logic method for Ankara OIZ environmental waste water treatment plant",2022,"Turkish Journal of Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85166223112&origin=inward",138,"2023-12-15 21:21:59","Article","10.31127/tuje.975623","2587-1366","https://api.elsevier.com/content/abstract/scopus_id/85166223112",6,4,268,275,1,1.00,1,1,1,"","",""
0,"F. Istiqomah","Prototype Design of CNC Machining Coolant Wastewater Treatment System Using Fuzzy Logic Controller",2021,"2021 International Conference on Advanced Mechatronics, Intelligent Manufacture and Industrial Automation, ICAMIMIA 2021 - Proceeding","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85135064944&origin=inward",194,"2023-12-15 21:21:59","Conference Paper","10.1109/ICAMIMIA54022.2021.9809802","","https://api.elsevier.com/content/abstract/scopus_id/85135064944",,,298,303,0,0.00,0,1,2,"","",""
24,"F. Zhang","Ecological risk assessment of marine microplastics using the analytic hierarchy process: A case study in the Yangtze River Estuary and adjacent marine areas",2022,"Journal of Hazardous Materials","","https://api.elsevier.com/content/article/eid/1-s2.0-S0304389421029290","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85120988084&origin=inward",25,"2023-12-15 21:21:59","Article","10.1016/j.jhazmat.2021.127960","0304-3894","https://api.elsevier.com/content/abstract/scopus_id/85120988084",425,,,,24,24.00,24,1,1,"","",""
0,"F.A. Amirov","Fuzzy C-Means Based Synthesis of Ion-Exchange Materials",2021,"Advances in Intelligent Systems and Computing","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85104875045&origin=inward",200,"2023-12-15 21:21:59","Conference Paper","10.1007/978-3-030-68004-6_64","2194-5357","https://api.elsevier.com/content/abstract/scopus_id/85104875045",1323,,487,495,0,0.00,0,1,2,"","",""
1,"F.G. Putra Pradana","Development of Smart Farming Control System based on Tsukamoto Fuzzy Algorithm",2023,"ICCoSITE 2023 - International Conference on Computer Science, Information Technology and Engineering: Digital Transformation Strategy in Facing the VUCA and TUNA Era","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85163052338&origin=inward",140,"2023-12-15 21:21:59","Conference Paper","10.1109/ICCoSITE57641.2023.10127754","","https://api.elsevier.com/content/abstract/scopus_id/85163052338",,,348,353,1,1.00,1,1,1,"","",""
1,"F.M. Tsai","Assessing sustainable consumption practices on cruise ships",2020,"Maritime Business Review","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85085213576&origin=inward",159,"2023-12-15 21:21:59","Article","10.1108/MABR-12-2019-0059","2397-3757","https://api.elsevier.com/content/abstract/scopus_id/85085213576",5,2,229,247,1,0.33,1,1,3,"","",""
18,"G. Qin","Water quality assessment and pollution source apportionment in a highly regulated river of Northeast China",2020,"Environmental Monitoring and Assessment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086719919&origin=inward",38,"2023-12-15 21:21:59","Article","10.1007/s10661-020-08404-0","0167-6369","https://api.elsevier.com/content/abstract/scopus_id/85086719919",192,7,,,18,6.00,18,1,3,"","",""
53,"G. Wang","A sparse deep belief network with efficient fuzzy learning framework",2020,"Neural Networks","","https://api.elsevier.com/content/article/eid/1-s2.0-S089360801930317X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073015074&origin=inward",8,"2023-12-15 21:21:59","Article","10.1016/j.neunet.2019.09.035","0893-6080","https://api.elsevier.com/content/abstract/scopus_id/85073015074",121,,430,440,53,17.67,53,1,3,"","",""
1,"H. Akinci","Site Selection for Municipal Solid Waste Landfill: Case Study of Artvin, Turkey",2022,"Environmental and Engineering Geoscience","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85137628170&origin=inward",145,"2023-12-15 21:21:59","Article","10.2113/EEG-D-21-00057","1078-7275","https://api.elsevier.com/content/abstract/scopus_id/85137628170",28,3,293,310,1,1.00,1,1,1,"","",""
1,"H. Akinci","Suitability analysis for municipal solid waste landfill site using geographic information system and fuzzy logic",2020,"Fresenius Environmental Bulletin","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85099394262&origin=inward",157,"2023-12-15 21:21:59","Article","","1018-4619","https://api.elsevier.com/content/abstract/scopus_id/85099394262",29,12,11514,11525,1,0.33,1,1,3,"","",""
8,"H. Gokcekus","Simulation and evaluation of water sterilization devices",2020,"Desalination and Water Treatment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85098717266&origin=inward",71,"2023-12-15 21:21:59","Article","10.5004/dwt.2020.25115","1944-3994","https://api.elsevier.com/content/abstract/scopus_id/85098717266",177,,431,436,8,2.67,8,1,3,"","",""
17,"H. Hamidane","Reliability analysis of corrosion initiation in reinforced concrete structures subjected to chlorides in presence of epistemic uncertainties",2020,"Structural Safety","","https://api.elsevier.com/content/article/eid/1-s2.0-S0167473020300552","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85085073375&origin=inward",44,"2023-12-15 21:21:59","Article","10.1016/j.strusafe.2020.101976","0167-4730","https://api.elsevier.com/content/abstract/scopus_id/85085073375",86,,,,17,5.67,17,1,3,"","",""
11,"H. Huang","Single spectral imagery and faster R-CNN to identify hazardous and noxious substances spills",2020,"Environmental Pollution","","https://api.elsevier.com/content/article/eid/1-s2.0-S0269749119340990","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078312924&origin=inward",62,"2023-12-15 21:21:59","Article","10.1016/j.envpol.2019.113688","0269-7491","https://api.elsevier.com/content/abstract/scopus_id/85078312924",258,,,,11,3.67,11,1,3,"","",""
4,"H. Jiang","Rural domestic sewage treatment in northeast cold region of China: Rational evaluation of technology options",2021,"Desalination and Water Treatment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85112275800&origin=inward",102,"2023-12-15 21:21:59","Article","10.5004/dwt.2021.27377","1944-3994","https://api.elsevier.com/content/abstract/scopus_id/85112275800",229,,153,166,4,2.00,4,1,2,"","",""
8,"H. Li","Sustainability assessment of urban water environment treatment public-private partnership projects using fuzzy logic",2020,"Journal of Engineering, Design and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089840178&origin=inward",72,"2023-12-15 21:21:59","Article","10.1108/JEDT-10-2019-0260","1726-0531","https://api.elsevier.com/content/abstract/scopus_id/85089840178",18,5,1251,1267,8,2.67,8,1,3,"","",""
5,"H. Li","Multi-dimensional dynamic fuzzy monitoring model for the effect of water pollution treatment",2019,"Environmental Monitoring and Assessment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065572512&origin=inward",94,"2023-12-15 21:21:59","Article","10.1007/s10661-019-7502-4","0167-6369","https://api.elsevier.com/content/abstract/scopus_id/85065572512",191,6,,,5,1.25,5,1,4,"","",""
